timestamp=2026-07-21T05:35:57.166Z level=INFO run=705e7a38 message="creating instance" directory=/Users/arden/code/ornith-loopspace-experiments/gridcalc-xl/runs/solo
timestamp=2026-07-21T05:35:57.167Z level=INFO run=705e7a38 message=fromDirectory directory=/Users/arden/code/ornith-loopspace-experiments/gridcalc-xl/runs/solo
timestamp=2026-07-21T05:35:57.205Z level=INFO run=705e7a38 message=bootstrapping directory=/Users/arden/code/ornith-loopspace-experiments/gridcalc-xl/runs/solo
timestamp=2026-07-21T05:35:57.208Z level=INFO run=705e7a38 message=loading path=/Users/arden/.config/opencode/config.json
timestamp=2026-07-21T05:35:57.208Z level=INFO run=705e7a38 message=loading path=/Users/arden/.config/opencode/opencode.json
timestamp=2026-07-21T05:35:57.210Z level=INFO run=705e7a38 message=loading path=/Users/arden/.config/opencode/opencode.jsonc
timestamp=2026-07-21T05:35:57.211Z level=INFO run=705e7a38 message=loading path=/Users/arden/code/ornith-loopspace-experiments/gridcalc-xl/runs/solo/opencode.json
timestamp=2026-07-21T05:35:57.219Z level=INFO run=705e7a38 message=loading path="/Users/arden/Library/Application Support/orca/opencode-hooks/shared/opencode.json"
timestamp=2026-07-21T05:35:57.219Z level=INFO run=705e7a38 message=loading path="/Users/arden/Library/Application Support/orca/opencode-hooks/shared/opencode.jsonc"
timestamp=2026-07-21T05:35:57.254Z level=INFO run=705e7a38 message="all LSPs are disabled"
timestamp=2026-07-21T05:35:57.254Z level=INFO run=705e7a38 message="all formatters are disabled"
timestamp=2026-07-21T05:35:57.254Z level=INFO run=705e7a38 message=init
timestamp=2026-07-21T05:35:57.308Z level=INFO run=705e7a38 message=created id=ses_07cd38883ffeIlyv0i0pfdf8rB slug=stellar-sailor version=1.17.15 projectID=3468b3e47d9f7062489cc0357811f1f5e07c90e3 directory=/Users/arden/code/ornith-loopspace-experiments/gridcalc-xl/runs/solo path="" workspaceID=undefined parentID=undefined title="New session - 2026-07-21T05:35:57.308Z" agent=undefined model=undefined metadata=undefined permission="[{\"permission\":\"question\",\"pattern\":\"*\",\"action\":\"deny\"},{\"permission\":\"plan_enter\",\"pattern\":\"*\",\"action\":\"deny\"},{\"permission\":\"plan_exit\",\"pattern\":\"*\",\"action\":\"deny\"}]" cost=0 tokens.input=0 tokens.output=0 tokens.reasoning=0 tokens.cache.read=0 tokens.cache.write=0 time.created=1784612157308 time.updated=1784612157308
timestamp=2026-07-21T05:35:57.319Z level=INFO run=705e7a38 message="event connected"
timestamp=2026-07-21T05:35:57.480Z level=INFO run=705e7a38 message=loop session.id=ses_07cd38883ffeIlyv0i0pfdf8rB step=0
[0m
> build · ornith-1.0-35b-Q5_K_M
[0m
timestamp=2026-07-21T05:35:57.486Z level=INFO run=705e7a38 message=stream providerID=ornith modelID=ornith-1.0-35b-Q5_K_M session.id=ses_07cd38883ffeIlyv0i0pfdf8rB small=true agent=title mode=primary
timestamp=2026-07-21T05:35:57.515Z level=INFO run=705e7a38 message="llm runtime selected" llm.runtime=ai-sdk llm.provider=ornith llm.model=ornith-1.0-35b-Q5_K_M
timestamp=2026-07-21T05:35:57.539Z level=INFO run=705e7a38 message=tracking hash=9788aa122ce4483b80c052a7c444d0d275534908 cwd=/Users/arden/code/ornith-loopspace-experiments/gridcalc-xl/runs/solo git=/Users/arden/.local/share/opencode/snapshot/3468b3e47d9f7062489cc0357811f1f5e07c90e3/3b52b43520d4160476d2127f94f2038227263334
timestamp=2026-07-21T05:35:57.542Z level=INFO run=705e7a38 message="shell tool using shell" shell=/bin/zsh
timestamp=2026-07-21T05:35:57.552Z level=WARN run=705e7a38 message="duplicate skill name" name=benchmark-models existing=/Users/arden/.claude/skills/gstack.bak/benchmark-models/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/benchmark-models/SKILL.md
timestamp=2026-07-21T05:35:57.553Z level=WARN run=705e7a38 message="duplicate skill name" name=open-gstack-browser existing=/Users/arden/.claude/skills/connect-chrome/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-open-gstack-browser/SKILL.md
timestamp=2026-07-21T05:35:57.553Z level=WARN run=705e7a38 message="duplicate skill name" name=open-gstack-browser existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-open-gstack-browser/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/connect-chrome/SKILL.md
timestamp=2026-07-21T05:35:57.553Z level=WARN run=705e7a38 message="duplicate skill name" name=setup-deploy existing=/Users/arden/.claude/skills/gstack.bak/setup-deploy/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-setup-deploy/SKILL.md
timestamp=2026-07-21T05:35:57.554Z level=WARN run=705e7a38 message="duplicate skill name" name=sync-gbrain existing=/Users/arden/.claude/skills/sync-gbrain/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/sync-gbrain/SKILL.md
timestamp=2026-07-21T05:35:57.554Z level=WARN run=705e7a38 message="duplicate skill name" name=open-gstack-browser existing=/Users/arden/.claude/skills/gstack.bak/connect-chrome/SKILL.md duplicate=/Users/arden/.claude/skills/open-gstack-browser/SKILL.md
timestamp=2026-07-21T05:35:57.554Z level=WARN run=705e7a38 message="duplicate skill name" name=make-pdf existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-make-pdf/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/make-pdf/SKILL.md
timestamp=2026-07-21T05:35:57.554Z level=WARN run=705e7a38 message="duplicate skill name" name=qa-only existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-qa-only/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack-qa-only/SKILL.md
timestamp=2026-07-21T05:35:57.554Z level=WARN run=705e7a38 message="duplicate skill name" name=careful existing=/Users/arden/.claude/skills/gstack.bak/careful/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack-careful/SKILL.md
timestamp=2026-07-21T05:35:57.554Z level=WARN run=705e7a38 message="duplicate skill name" name=design-shotgun existing=/Users/arden/.claude/skills/gstack.bak/design-shotgun/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-design-shotgun/SKILL.md
timestamp=2026-07-21T05:35:57.555Z level=WARN run=705e7a38 message="duplicate skill name" name=investigate existing=/Users/arden/.claude/skills/gstack/investigate/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack-investigate/SKILL.md
timestamp=2026-07-21T05:35:57.555Z level=WARN run=705e7a38 message="duplicate skill name" name=qa-only existing=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack-qa-only/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-qa-only/SKILL.md
timestamp=2026-07-21T05:35:57.555Z level=WARN run=705e7a38 message="duplicate skill name" name=benchmark existing=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-benchmark/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-benchmark/SKILL.md
timestamp=2026-07-21T05:35:57.555Z level=WARN run=705e7a38 message="duplicate skill name" name=plan-eng-review existing=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-plan-eng-review/SKILL.md duplicate=/Users/arden/.claude/skills/plan-eng-review/SKILL.md
timestamp=2026-07-21T05:35:57.555Z level=WARN run=705e7a38 message="duplicate skill name" name=browse existing=/Users/arden/.claude/skills/gstack.bak/browse/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.hermes/skills/gstack-browse/SKILL.md
timestamp=2026-07-21T05:35:57.555Z level=WARN run=705e7a38 message="duplicate skill name" name=setup-deploy existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-setup-deploy/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-setup-deploy/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=careful existing=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack-careful/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/careful/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=make-pdf existing=/Users/arden/.claude/skills/gstack.bak/make-pdf/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.cursor/skills/gstack-make-pdf/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=benchmark existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-benchmark/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.factory/skills/gstack-benchmark/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=plan-ceo-review existing=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-plan-ceo-review/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-plan-ceo-review/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=make-pdf existing=/Users/arden/.claude/skills/gstack.bak/.cursor/skills/gstack-make-pdf/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-make-pdf/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=plan-ceo-review existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-plan-ceo-review/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/plan-ceo-review/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=learn existing=/Users/arden/.claude/skills/gstack.bak/learn/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.gbrain/skills/gstack-learn/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=open-gstack-browser existing=/Users/arden/.claude/skills/open-gstack-browser/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-open-gstack-browser/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=gstack existing=/Users/arden/.claude/skills/gstack.bak/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack/SKILL.md
timestamp=2026-07-21T05:35:57.556Z level=WARN run=705e7a38 message="duplicate skill name" name=open-gstack-browser existing=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-open-gstack-browser/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/open-gstack-browser/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=unfreeze existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-unfreeze/SKILL.md duplicate=/Users/arden/.claude/skills/unfreeze/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=benchmark existing=/Users/arden/.claude/skills/gstack/.factory/skills/gstack-benchmark/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/benchmark/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=plan-devex-review existing=/Users/arden/.claude/skills/plan-devex-review/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.kiro/skills/gstack-plan-devex-review/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=guard existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-guard/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-guard/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=canary existing=/Users/arden/.claude/skills/gstack.bak/canary/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.factory/skills/gstack-canary/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=qa-only existing=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-qa-only/SKILL.md duplicate=/Users/arden/.claude/skills/qa-only/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=office-hours existing=/Users/arden/.claude/skills/gstack.bak/office-hours/SKILL.md duplicate=/Users/arden/.claude/skills/office-hours/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=guard existing=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-guard/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/guard/SKILL.md
timestamp=2026-07-21T05:35:57.557Z level=WARN run=705e7a38 message="duplicate skill name" name=canary existing=/Users/arden/.claude/skills/gstack/.factory/skills/gstack-canary/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.gbrain/skills/gstack-canary/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=guard existing=/Users/arden/.claude/skills/gstack.bak/guard/SKILL.md duplicate=/Users/arden/.claude/skills/guard/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=ios-clean existing=/Users/arden/.claude/skills/gstack/.kiro/skills/gstack-ios-clean/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.slate/skills/gstack-ios-clean/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=office-hours existing=/Users/arden/.claude/skills/office-hours/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.kiro/skills/gstack-office-hours/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=qa existing=/Users/arden/.claude/skills/gstack/.hermes/skills/gstack-qa/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/qa/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=pair-agent existing=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-pair-agent/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.agents/skills/gstack-pair-agent/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=unfreeze existing=/Users/arden/.claude/skills/unfreeze/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/unfreeze/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=make-pdf existing=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-make-pdf/SKILL.md duplicate=/Users/arden/.claude/skills/make-pdf/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=gstack existing=/Users/arden/.claude/skills/gstack.bak/.factory/skills/gstack/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=design-shotgun existing=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-design-shotgun/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.slate/skills/gstack-design-shotgun/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=qa-only existing=/Users/arden/.claude/skills/qa-only/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/qa-only/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=health existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-health/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-health/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=design-html existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-design-html/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.agents/skills/gstack-design-html/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=pair-agent existing=/Users/arden/.claude/skills/gstack/.agents/skills/gstack-pair-agent/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.openclaw/skills/gstack-pair-agent/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=context-restore existing=/Users/arden/.claude/skills/context-restore/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.gbrain/skills/gstack-context-restore/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=design-consultation existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-design-consultation/SKILL.md duplicate=/Users/arden/.claude/skills/design-consultation/SKILL.md
timestamp=2026-07-21T05:35:57.558Z level=WARN run=705e7a38 message="duplicate skill name" name=setup-deploy existing=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-setup-deploy/SKILL.md duplicate=/Users/arden/.claude/skills/setup-deploy/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=design-consultation existing=/Users/arden/.claude/skills/design-consultation/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/design-consultation/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=design-shotgun existing=/Users/arden/.claude/skills/gstack/.slate/skills/gstack-design-shotgun/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.openclaw/skills/gstack-design-shotgun/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=plan-devex-review existing=/Users/arden/.claude/skills/gstack/.kiro/skills/gstack-plan-devex-review/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.factory/skills/gstack-plan-devex-review/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=ship existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-ship/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/ship/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=browse existing=/Users/arden/.claude/skills/gstack/.hermes/skills/gstack-browse/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-browse/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=canary existing=/Users/arden/.claude/skills/gstack/.gbrain/skills/gstack-canary/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-canary/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=setup-deploy existing=/Users/arden/.claude/skills/setup-deploy/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.factory/skills/gstack-setup-deploy/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=design-review existing=/Users/arden/.claude/skills/gstack.bak/design-review/SKILL.md duplicate=/Users/arden/.claude/skills/design-review/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=setup-browser-cookies existing=/Users/arden/.claude/skills/gstack/setup-browser-cookies/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.kiro/skills/gstack-setup-browser-cookies/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=ship existing=/Users/arden/.claude/skills/gstack.bak/ship/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-ship/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=health existing=/Users/arden/.claude/skills/gstack.bak/.gbrain/skills/gstack-health/SKILL.md duplicate=/Users/arden/.claude/skills/gstack.bak/.cursor/skills/gstack-health/SKILL.md
timestamp=2026-07-21T05:35:57.559Z level=WARN run=705e7a38 message="duplicate skill name" name=browse existing=/Users/arden/.claude/skills/gstack.bak/.hermes/skills/gstack-browse/SKILL.md duplicate=/Users/arden/.claude/skills/gstack/.kiro/skills/gstack-browse/SKILL.md
