idx,commit,date,subject,rgroup,passed,failed
0,3468b3e4,2026-07-21T11:05:47+09:00,"arm S seed — SPEC.md verbatim from pre-registered SPEC (experiments repo e4306e8); spec-only, no plan (W' Arms symmetry)",other,0,1
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r01,20,1
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r02,4,2
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r03,0,42
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r04,0,5
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r05,0,2
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r06,0,6
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r07,0,8
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r08,0,6
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r09,0,4
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r10,1,14
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r11,0,120
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r12,0,5
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r13,0,20
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r14,0,17
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r15,0,13
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r16,0,8
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r17,1,13
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r18,31,10
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r19,1,7
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r20,0,4
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r21,15,3
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r22,0,6
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r23,0,4
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r24,31,5
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r25,0,3
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r26,1,6
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r27,0,7
1,86ba189b,2026-07-21T12:33:56+09:00,solo session 1,r28,0,4
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r01,21,0
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r02,5,1
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r03,39,3
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r04,5,0
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r05,0,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r06,4,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r07,7,1
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r08,4,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r09,3,1
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r10,6,9
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r11,0,120
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r12,5,0
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r13,18,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r14,15,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r15,12,1
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r16,5,3
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r17,5,9
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r18,31,10
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r19,1,7
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r20,1,3
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r21,15,3
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r22,0,6
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r23,1,3
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r24,34,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r25,1,2
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r26,6,1
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r27,2,5
2,47977028,2026-07-21T13:22:51+09:00,solo session 2,r28,1,3
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r01,21,0
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r02,5,1
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r03,37,5
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r04,5,0
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r05,2,0
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r06,4,2
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r07,7,1
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r08,4,2
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r09,3,1
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r10,8,7
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r11,2,118
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r12,5,0
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r13,18,2
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r14,16,1
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r15,13,0
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r16,5,3
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r17,10,4
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r18,31,10
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r19,5,3
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r20,2,2
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r21,15,3
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r22,2,4
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r23,2,2
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r24,36,0
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r25,2,1
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r26,6,1
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r27,3,4
3,d41474d1,2026-07-21T14:02:39+09:00,solo session 3,r28,4,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r01,21,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r02,5,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r03,37,5
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r04,5,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r05,2,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r06,5,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r07,7,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r08,4,2
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r09,4,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r10,13,2
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r11,2,118
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r12,5,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r13,18,2
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r14,16,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r15,13,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r16,5,3
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r17,11,3
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r18,32,9
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r19,5,3
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r20,2,2
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r21,15,3
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r22,2,4
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r23,3,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r24,36,0
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r25,2,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r26,6,1
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r27,3,4
4,2708d18b,2026-07-21T14:35:53+09:00,solo session 4,r28,4,0
5,88136c55,2026-07-21T15:05:18+09:00,solo session 5,r01,21,0
5,88136c55,2026-07-21T15:05:18+09:00,solo session 5,r02,5,1
5,88136c55,2026-07-21T15:05:18+09:00,solo session 5,r03,37,5
5,88136c55,2026-07-21T15:05:18+09:00,solo session 5,r04,5,0
5,88136c55,2026-07-21T15:05:18+09:00,solo session 5,r05,2,0
