idx,commit,date,subject,rgroup,passed,failed
0,1dd299fa,2026-07-16T09:46:19+09:00,"loopspace: spec approved — gridcalc-xl (seeded verbatim from pre-registered SPEC, experiments repo e4306e8)",other,0,1
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r01,21,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r02,6,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r03,42,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r04,5,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r05,2,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r06,5,1
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r07,8,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r08,5,1
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r09,4,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r10,15,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r11,74,46
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r12,5,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r13,20,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r14,17,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r15,13,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r16,8,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r17,14,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r18,41,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r19,8,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r20,4,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r21,18,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r22,6,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r23,4,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r24,36,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r25,3,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r26,7,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r27,7,0
1,f5154403,2026-07-16T20:40:27+09:00,Merge loopspace gridcalc-xl run,r28,4,0
